2023-12-28 11:20:22,066 - root - INFO - Epoch 27; loss: 1.972420334815979; CER: 0.2314593642950058; WER: 1.0; val_loss: 1.8436671495437622; val_CER: 0.20883652567863464; val_WER: 1.0
2023-12-28 11:20:44,479 - root - INFO - Epoch 28; loss: 2.0168261528015137; CER: 0.23240894079208374; WER: 1.0; val_loss: 1.706619143486023; val_CER: 0.21148748695850372; val_WER: 1.0
2023-12-28 11:21:07,191 - root - INFO - Epoch 29; loss: 1.8495253324508667; CER: 0.22697362303733826; WER: 1.0; val_loss: 1.6038236618041992; val_CER: 0.20441827178001404; val_WER: 1.0
2023-12-28 11:21:29,910 - root - INFO - Epoch 30; loss: 1.7940261363983154; CER: 0.22409217059612274; WER: 1.0; val_loss: 1.6506915092468262; val_CER: 0.20353461802005768; val_WER: 1.0
2023-12-28 11:21:52,480 - root - INFO - Epoch 31; loss: 1.6924890279769897; CER: 0.21816575527191162; WER: 1.0; val_loss: 1.5259617567062378; val_CER: 0.20589102804660797; val_WER: 1.0
2023-12-28 11:22:15,072 - root - INFO - Epoch 32; loss: 1.6302632093429565; CER: 0.21652862429618835; WER: 1.0; val_loss: 1.758234977722168; val_CER: 0.2120765745639801; val_WER: 1.0
2023-12-28 11:22:37,787 - root - INFO - Epoch 33; loss: 1.5613514184951782; CER: 0.213483527302742; WER: 0.9997708201408386; val_loss: 1.5294642448425293; val_CER: 0.20176729559898376; val_WER: 1.0
2023-12-28 11:23:00,511 - root - INFO - Epoch 34; loss: 1.5178897380828857; CER: 0.2123374342918396; WER: 1.0; val_loss: 1.4643563032150269; val_CER: 0.20147275924682617; val_WER: 1.0
2023-12-28 11:23:23,204 - root - INFO - Epoch 35; loss: 1.4235230684280396; CER: 0.20641106367111206; WER: 1.0; val_loss: 1.4688646793365479; val_CER: 0.19558176398277283; val_WER: 1.0
2023-12-28 11:23:45,958 - root - INFO - Epoch 36; loss: 1.4296778440475464; CER: 0.20497041940689087; WER: 1.0; val_loss: 1.4878171682357788; val_CER: 0.19558174908161163; val_WER: 1.0
2023-12-28 11:24:08,655 - root - INFO - Epoch 37; loss: 1.3832556009292603; CER: 0.20228545367717743; WER: 1.0; val_loss: 1.3669521808624268; val_CER: 0.1944035440683365; val_WER: 1.0
2023-12-28 11:24:31,195 - root - INFO - Epoch 38; loss: 1.3830461502075195; CER: 0.20457744598388672; WER: 1.0; val_loss: 5.8162946701049805; val_CER: 0.3216495215892792; val_WER: 1.0
2023-12-28 11:24:53,963 - root - INFO - Epoch 39; loss: 1.293254017829895; CER: 0.2000589519739151; WER: 1.0; val_loss: 1.3278555870056152; val_CER: 0.18851250410079956; val_WER: 1.0
2023-12-28 11:25:16,677 - root - INFO - Epoch 40; loss: 1.224875569343567; CER: 0.1951475441455841; WER: 1.0; val_loss: 1.2581322193145752; val_CER: 0.1829160451889038; val_WER: 1.0
2023-12-28 11:25:39,176 - root - INFO - Epoch 41; loss: 1.1877171993255615; CER: 0.19616253674030304; WER: 1.0; val_loss: 14.089427947998047; val_CER: 0.5375551581382751; val_WER: 1.0
2023-12-28 11:26:01,910 - root - INFO - Epoch 42; loss: 1.1289228200912476; CER: 0.19213519990444183; WER: 1.0; val_loss: 1.2202597856521606; val_CER: 0.18232695758342743; val_WER: 1.0
2023-12-28 11:26:24,485 - root - INFO - Epoch 43; loss: 1.1113793849945068; CER: 0.19373954832553864; WER: 0.9997708201408386; val_loss: 1.2244364023208618; val_CER: 0.18792341649532318; val_WER: 1.0
2023-12-28 11:26:47,024 - root - INFO - Epoch 44; loss: 1.1138802766799927; CER: 0.19236436486244202; WER: 1.0; val_loss: 1.1972308158874512; val_CER: 0.1829160749912262; val_WER: 1.0
2023-12-28 11:27:09,747 - root - INFO - Epoch 45; loss: 1.0965598821640015; CER: 0.19089093804359436; WER: 1.0; val_loss: 1.1830856800079346; val_CER: 0.1764359325170517; val_WER: 1.0
2023-12-28 11:27:32,308 - root - INFO - Epoch 46; loss: 1.0534307956695557; CER: 0.18899187445640564; WER: 1.0; val_loss: 1.2188743352890015; val_CER: 0.18232695758342743; val_WER: 1.0
2023-12-28 11:27:54,863 - root - INFO - Epoch 47; loss: 1.0213472843170166; CER: 0.18525917828083038; WER: 0.9997708201408386; val_loss: 1.2992870807647705; val_CER: 0.18114875257015228; val_WER: 1.0
2023-12-28 11:28:17,368 - root - INFO - Epoch 48; loss: 1.0148512125015259; CER: 0.18617598712444305; WER: 1.0; val_loss: 1.3281046152114868; val_CER: 0.18556702136993408; val_WER: 1.0
2023-12-28 11:28:39,937 - root - INFO - Epoch 49; loss: 1.0192755460739136; CER: 0.18692907691001892; WER: 1.0; val_loss: 1.078450322151184; val_CER: 0.17673048377037048; val_WER: 1.0
2023-12-28 11:29:02,453 - root - INFO - Epoch 50; loss: 0.9440603256225586; CER: 0.18372024595737457; WER: 1.0; val_loss: 1.1716867685317993; val_CER: 0.1784978061914444; val_WER: 1.0
2023-12-28 11:29:25,125 - root - INFO - Epoch 51; loss: 0.8850875496864319; CER: 0.18116635084152222; WER: 0.9997708201408386; val_loss: 1.1255825757980347; val_CER: 0.17231221497058868; val_WER: 1.0
2023-12-28 11:29:47,626 - root - INFO - Epoch 52; loss: 0.9152818322181702; CER: 0.18234503269195557; WER: 1.0; val_loss: 1.0748398303985596; val_CER: 0.17761415243148804; val_WER: 1.0
2023-12-28 11:30:10,141 - root - INFO - Epoch 53; loss: 0.9224905967712402; CER: 0.18152649700641632; WER: 1.0; val_loss: 1.1249144077301025; val_CER: 0.18026511371135712; val_WER: 1.0
2023-12-28 11:30:32,704 - root - INFO - Epoch 54; loss: 0.8965176939964294; CER: 0.18080615997314453; WER: 1.0; val_loss: 1.0961710214614868; val_CER: 0.17466865479946136; val_WER: 1.0
2023-12-28 11:30:55,234 - root - INFO - Epoch 55; loss: 0.8626997470855713; CER: 0.17871059477329254; WER: 1.0; val_loss: 1.1553021669387817; val_CER: 0.17496317625045776; val_WER: 1.0
2023-12-28 11:31:17,835 - root - INFO - Epoch 56; loss: 0.8801773190498352; CER: 0.17972560226917267; WER: 1.0; val_loss: 1.1079823970794678; val_CER: 0.17761412262916565; val_WER: 1.0
2023-12-28 11:31:40,397 - root - INFO - Epoch 57; loss: 0.8457924723625183; CER: 0.17871057987213135; WER: 1.0; val_loss: 1.3148938417434692; val_CER: 0.18232695758342743; val_WER: 1.0
2023-12-28 11:32:02,912 - root - INFO - Epoch 58; loss: 0.8051959872245789; CER: 0.17733539640903473; WER: 1.0; val_loss: 26.649682998657227; val_CER: 0.745508074760437; val_WER: 1.0
2023-12-28 11:32:25,465 - root - INFO - Epoch 59; loss: 0.8321532011032104; CER: 0.17677877843379974; WER: 1.0; val_loss: 1.0771573781967163; val_CER: 0.17584684491157532; val_WER: 1.0
2023-12-28 11:32:47,910 - root - INFO - Epoch 60; loss: 0.8079267144203186; CER: 0.17592746019363403; WER: 1.0; val_loss: 0.9939798712730408; val_CER: 0.16907216608524323; val_WER: 1.0
2023-12-28 11:33:10,444 - root - INFO - Epoch 61; loss: 0.7682272791862488; CER: 0.175665482878685; WER: 1.0; val_loss: 0.991543710231781; val_CER: 0.17025038599967957; val_WER: 1.0
2023-12-28 11:33:32,965 - root - INFO - Epoch 62; loss: 0.8032631874084473; CER: 0.1777610182762146; WER: 1.0; val_loss: 1.0245188474655151; val_CER: 0.17260679602622986; val_WER: 1.0
2023-12-28 11:33:55,386 - root - INFO - Epoch 63; loss: 0.7022482752799988; CER: 0.17294786870479584; WER: 1.0; val_loss: 8.54103946685791; val_CER: 0.3522827923297882; val_WER: 1.0
2023-12-28 11:34:17,840 - root - INFO - Epoch 64; loss: 0.6919124722480774; CER: 0.172685906291008; WER: 0.9997708201408386; val_loss: 25.515745162963867; val_CER: 0.7089837789535522; val_WER: 1.0
2023-12-28 11:34:40,394 - root - INFO - Epoch 65; loss: 0.7248307466506958; CER: 0.17363542318344116; WER: 0.9997708201408386; val_loss: 0.9816789031028748; val_CER: 0.17142857611179352; val_WER: 1.0
2023-12-28 11:35:02,882 - root - INFO - Epoch 66; loss: 0.7180567979812622; CER: 0.1721620112657547; WER: 0.9997708201408386; val_loss: 1.359087586402893; val_CER: 0.1808542013168335; val_WER: 1.0
2023-12-28 11:35:25,458 - root - INFO - Epoch 67; loss: 0.7299588918685913; CER: 0.17347176373004913; WER: 1.0; val_loss: 1.0912412405014038; val_CER: 0.17496319115161896; val_WER: 1.0
2023-12-28 11:35:48,061 - root - INFO - Epoch 68; loss: 0.708185076713562; CER: 0.17373371124267578; WER: 1.0; val_loss: 1.1294338703155518; val_CER: 0.17290133237838745; val_WER: 1.0
2023-12-28 11:36:10,686 - root - INFO - Epoch 69; loss: 0.7228870391845703; CER: 0.1728823482990265; WER: 1.0; val_loss: 1.2370356321334839; val_CER: 0.1737849861383438; val_WER: 1.0
2023-12-28 11:36:33,277 - root - INFO - Epoch 70; loss: 0.6849554777145386; CER: 0.17239120602607727; WER: 1.0; val_loss: 6.8702802658081055; val_CER: 0.25832104682922363; val_WER: 1.0
2023-12-28 11:36:56,068 - root - INFO - Epoch 71; loss: 0.6929818391799927; CER: 0.17278411984443665; WER: 1.0; val_loss: 1.0484613180160522; val_CER: 0.16877761483192444; val_WER: 1.0
2023-12-28 11:37:18,665 - root - INFO - Epoch 72; loss: 0.6570160388946533; CER: 0.17157265543937683; WER: 1.0; val_loss: 1.0611017942428589; val_CER: 0.17437408864498138; val_WER: 1.0
2023-12-28 11:37:41,394 - root - INFO - Epoch 73; loss: 0.6313419938087463; CER: 0.16967353224754333; WER: 0.9997708201408386; val_loss: 0.9511840343475342; val_CER: 0.1673048734664917; val_WER: 1.0
2023-12-28 11:38:03,991 - root - INFO - Epoch 74; loss: 0.6650766134262085; CER: 0.17170360684394836; WER: 1.0; val_loss: 1.0998095273971558; val_CER: 0.17142857611179352; val_WER: 1.0
2023-12-28 11:38:26,563 - root - INFO - Epoch 75; loss: 0.6069921255111694; CER: 0.16846203804016113; WER: 0.9997708201408386; val_loss: 1.033447027206421; val_CER: 0.17025037109851837; val_WER: 1.0
2023-12-28 11:38:49,333 - root - INFO - Epoch 76; loss: 0.6659084558486938; CER: 0.1711142212152481; WER: 1.0; val_loss: 0.8745366334915161; val_CER: 0.16553756594657898; val_WER: 1.0
2023-12-28 11:39:12,005 - root - INFO - Epoch 77; loss: 0.6220042705535889; CER: 0.16980451345443726; WER: 0.9997708201408386; val_loss: 1.031823992729187; val_CER: 0.17025038599967957; val_WER: 1.0
